text,category
"CERTIFICATS D'ECONOMIES D'ENERGIE ATTESTATION SUR L'HONNEUR Document à compléter de façon lisible et de préférence en majuscules. Les champs précèdés d'un astérisque (*) sont obligatoires. TOTALENERGIES ELECTRICITE ET GAZ FRANCE SIREN 442395448 Vous rencontrez un problème, vous avez une question ? Vous pouvez nous contacter au N° tél : 09 87 98 64 20 E-mail :ee.reclamation@mail.totalenergies.fr A/ BAR-TH-164 (v.A36.2) : Rénovation thermique globale d'une maison individuelle existante *Date d' engagement de l'opération (ex date d' acceptation du devis) : 09/08/2021 Date de preuve de réalisation de l'opération (ex date de la facture) : 30/08/2021 Référence de la facture : RSE-2021-0020 * Pour les personnes morales : nom du site des travaux ou nom de la copropriété : * Adresse des travaux : 21.RUE.DE CHEVRY Complément d' adresse : PARCELLE CADASTRALE, *Code postal 45700 *Ville : ST MAURICE SUR FESSARD *Maison individuelle existant depuis plus de 2 ans à la date d'engagement de l'opération : OUI NON *Surface habitable de la maison rénovée Shab (m²) : 152 Caractéristiques du bâtiment données par l'étude énergétique : *Consommation conventionnelle en énergie primaire avant les travaux de rénovation : Cep initial (kWh/m².an) : 561,68 *Consommation conventionnelle en énergie primaire après les travaux de rénovation : Cep projet (kWh/m².an) : 174.85 *Consommation conventionnelle en énergie finale avant les travaux de rénovation : Cef initial (kWh/m².an) 880.97. *Consommation conventionnelle en énergie finale après Ics travaux de rénovation : Cef projet (kWh/m².an) 67.68 * Gain énergétique du projet par rapport à la consommation conventionnelle en énergie primaire avant travaux : 68,87 % NB les consommations conventionnelles (en kWh/m².ar du bâtiment s' entendent sans déduction de la production d' électricité (autoconsommée ou exportée) et prennent en compte les usages pour le chauffage, le refroidissement et la production d' eau chaude sanitaire. Les émissions de gaz à effet de serre après rénovation, exprimées en kgeqCO2/m².an sont inférieures ou égales à la valeur initiale de ces émissions avant travaux : E OUI NON NB : Les données utilisées pour les hypothèses de calcul du contenu carbone sont celles de la Base Carbone de l'ADEME hébergée à l'adresse suivante : www.bilans-ges-ademe.fr. Coordonnées de l'entreprise ayant effectué l'étude énergétique de l'opération au regard des exigences de la fiche standardisée : *Raison sociale : KYNAN TRAVAUX ET INGENIERIE *Numéro SIREN : 82220387.3 *Date de l' étude énergétique : 04/08/2021 *Référence de l'étude énergétique : TH-164.4807. Logiciel de calcul utilisé pour réaliser l'étude énergétique : * Nom du logiciel et de son éditeur BAO--EVOLUTION PROMODUL * Date et n° de version : 02/06/2021 - N° 2.0.46 NB La liste des logiciels réputés satisfaire aux exigences de la présente fiche est rendue publique sur le site Internet du ministère chargé de l'énergie, à l'adresse suivante :https://www.ecologie.gouv.fr/questions-reponses-sur-dispositif-cee NB Cette opération n' est pas cumulable avec d'autres opérations pouvant donner lieu à la délivrance de certificats d'économies d'énergie pour des travaux concernant le chauffage, la production d' 'eau chaude sanitaire, la ventilation, l'isolation de l'enveloppe de la maison ou les systèmes d' automatisation et de contrôle du bâtiment, 1/5",AH
"Qualification ou certification du (ou des) professionnel(s) En cas d' 'intervention de plusieurs professionnels, il convient de dupliquer pour chaque professionnel les informations du cartouche suivant en précisant le domaine des travaux qu'il a effectué : Identification du professionnel ayant réalisé les travaux : *Nom du représentant BENALI *Prénom NASSIM *Raison sociale RSE ENERGIE *N° de SIRET 52528997100034 *Domaine des travaux réalisés : BAR-EN-101 Mise en place d'uno isolation thermique en Rampant *Référence de la qualification ou certification E-E176254 *Date 10/12/2022 Identification du professionnel ayant réalisé les travaux : *Nom du représentant : BENALI *Prénom NASSIM *Raison sociale RSE ENERGIE *N° de SIRET 52528997100034 *Domaine des travaux réalisés : BAR-EN-102 - Mise en place d'une isolation thermique des murs par l'intérieur *Référence de la qualification ou certification E-E176254 *Date 10/12/2022 Identification du professionnel ayant réalisé les travaux : *Nom du représentant : BENALI *Prénom NASSIM *Raison sociale : RSE ENERGIE *N° de SIRET : 52528997100034 *Domaine des travaux réalisés : BAR-TH-129 - Pompe à chaleur de type air/air *Référence de la qualification ou certification : QPAC/63711 *Date 01/04/2022 Identification du professionnel ayant réalisé les travaux : *Nom du représentant : TRENDEL *Prénom ERIC *Raison sociale : BIO SERVICES *N° de SIRET : 82111919500013 *Domaine des travaux réalisés : BAR-TH-112 - Installation d'un appareil indépendant de chauffage au bois *Référence de la qualification ou certification : QB/53445 *Date 16/09/2021 Identification du professionnel ayant réalisé les travaux : *Nom du représentant BENALI *Prénom NASSIM *Raison sociale RSE ENERGIE *N° de SIRET : 52528997100034 *Domaine des travaux réalisés : BAR-TH-148 - Chauffe-eau thermodynamique à accumulation *Référence de la qualification ou certification : QPAC/63711 *Date 01/04/2022 Pour les opérations engagées jusqu'au 31 décembre 2020, la qualification ou certifications de l'entreprise est mentionnée dans le cas où cette dernière a réalisé des travaux entrant dans les domaines définis au I de l'article 46 AX de l'annexe III du code général des impôts. Pour les opérations engagées à compter du 1er janvier 2021, la qualification ou certification de I entreprise est mentionnées dans le cas où cette dernière a réalisé des travaux relevant de l'une au moins des catégories de travaux mentionnées au 1° à 17° du I de l'article 1er du décret n °2014 - 812 du 16 juillet 2014 pris pour l'application du second alinéa du 2 de l'article 200 quater du code général des impôts et du dernier alinéa du 2 du I de l'article 244 quater U du code général des impôts et des textes pris pour son application. 2/5",AH
"B/ Bénéficiaire de l'opération d'économies d'énergie *Nom du signataire : PICARD Prénom du signataire : LAURA *Pour les bénéficiaires personnes morales, préciser : *Raison sociale du bénéficiaire : *Numéro SIREN du bénéficiaire : A défaut : le bénéficiaire atteste sur l'honneur qu'il est dépourvu de numéro SIREN en cochant cette case : (mentionner la raison sociale et le numéro SIREN du syndic dans le cas des copropriétés). *Fonction du signataire : PROPRIÉTAIRE * Adresse : 21 RUE DE CHEVRY Compléments d'adresse : *Code postal : 45700 *Ville ST MAURICE SUR FESSARD Pays : FRANCE Pour une opération engagée jusqu'au 31 mars 2021, indiquer les coordonnées suivantes : Téléphone : Mobile Courriel : Pour une opération engagée à compter du 1er avril 2021, indiquer les coordonnées suivantes : *Téléphone : 07-82-80-72-28 (indiquer un numéro de téléphone fixe ou de téléphone portable) *Courriel : LAU.LAURA@LIVE.FR (indiquer : "" néant "" si Ie bénéficiaire ne dispose pas d' 'une adresse de courriel) *Cocher l'une des deux cases suivantes : à l'issue des opérations d' économies d'énergie : Je suis le seul propriétaire (final) ou le locataire des équipements installés ; ou le syndic de la copropriété ou prend place l'opération d' 'économies d' énergie ; ou l'occupant du logement où prend place l'opération d' économies d' énergie et je finance cette opération ; ou la personne recevant le service acheté ; Je suis le maître d'ouvrage, l'un des propriétaires des équipements installés, ou l'affectataire (au titre du transfert de compétence entre collectivités territoriales) des biens sur lesquels ont lieu l'opération. Le bénéficiaire ne peut prétendre qu'une seule fois à une contribution versée dans le cadre du dispositif des certificats d'économies d'énergie. En tant que bénéficiaire de l'opération d'économies d' énergie, atteste sur l'honneur : - que TotalEnergies Electricité et Gaz France m'a apporté une contribution individualisée (action personnalisée de sensibilisation ou d' accompagnement, aide financière ou équivalent). Cette contribution m'a incité à réaliser cette opération d' 'économies d' énergie ; - que je fournirai exclusivement à TotalEnergies Electricité et Gaz France l'ensemble des documents permettant de valoriser cette opération au titre du dispositif des certificats d' économies d' énergie, notamment la facture (ou à défaut une autre preuve de la réalisation effective de l'opération) - que je ne signerai pas, pour cette opération, d'attestation sur l'honneur semblable avec une autre personne morale ; - l'exactitude des informations que j'ai communiquées ci-dessus sur les caractéristiques de mon bien (type de bâtiment, surfaces, énergie de chauffage, etc.) et que la ou les opérations d' économies d' énergie décrites ci-dessus ont été intégralement réalisées. Je suis informé que je suis susceptible d' être contacté par les services du ministère chargé de l'énergie (ou tout organisme désigné par le ministère chargé de l'énergie) dans le cadre d' un contrôle concernant la nature de l'opération et la réalisation effective de celle-ci que les économies d' énergie réalisées par cette opération ne viennent pas réduire les émissions de gaz à effet de serre d'une installation classée visée à l'article L. 229-5 du code de l'environnement dont je suis l'exploitant ; qu'aucune aide à l'investissement de l'Agence de l'environnement et de la maîtrise de l'énergie (ADEME) n'a été reçue ou ne sera sollicitée pour cette opération ou qu'une aide à l'investissement de l'ADEME a été reçue ou sollicitée et que le calcul et la décision d'attribution de cette aide prennent en compte la délivrance de certificats d' économies d' énergie. Fait à ST. MAURICE SUR FESSARD *Le 30/08/2021 *Signature du bénéficiaire Pour les personnes morales, son cachet et la signature du représentant R 3/5",AH
"C/ Professionnel ayant mis en œuvre l'opération d' économies d' énergie ou assuré sa maîtrise d'œuvre *Nom du signataire : BENALI Prénom du signataire : NASSIM *Fonction du signataire : GÉRANT *Raison sociale : RSE ENERGIE Numéro SIRET : 52528997100034 Adresse 4 ALLEE DES GARAYS Code postal : 91120 Ville : PALAISEAU Pour unc opération engagée jusqu'au 31 mars 2021, indiquer les coordonnées suivantes : Téléphone : Mobile : Courriel : Pour une opération engagée à compter du 1er avril 2021, indiquer les coordonnées suivantes : *Téléphone : 01-70-27-61-77 (indiquer un numéro de téléphone fixe ou de téléphone portable) *Courriel : R.CHEBLI@RSE-ENERGIE.COM (indiquer : "" néant ""si le bénéficiaire ne dispose pas d' une adresse de courriel) * En tant que représentant de l'entreprise : ayant mis en œuvre ; ou ayant assuré la maîtrise d'oeuvre de l'opération d' économies d' énergie, j'atteste sur l'honneur : que je fournirai exclusivement à TotalEnergies Electricité et Gaz France l'ensemble des documents permettant de valoriser cette opération au titre du dispositif des certificats d' économies d' énergie, notamment la facture (ou à défaut une autre preuve de la réalisation effective de l'opération) ; que je ne signerai pas, pour cette opération, d' attestation sur l'honneur semblable avec une autre personne morale ; l'exactitude des informations que j'ai communiquées ci-dessus sur les caractéristiques techniques relatives à l'opération d' économies d' énergie et, le cas échéant, sur les qualifications professionnelles requises pour mettre en œuvre cette opération ; que la ou les opérations d' économies d' énergie décrites ci-dessus ont été intégralement réalisées et que 'ai respecté les conditions de leur réalisation, conformément à ou aux fiches d'opération standardisées d' économies d' énergie concernées. Je suis informé que je suis susceptible d' être contacté par les services du ministère chargé de l'énergie (ou tout organisme désigné par le ministère chargé de l'énergie) dans le cadre d'un contrôle concernant la nature de l'opération et la réalisation effective de celle-ci. Fait à PALAISEAU *Le 30/08/2021 *Cachet et signature du professionnel RSE ENERGIE SARA AU APIT, 100.000,00 € 4A in 1120 Palaiseau RCSER NVA: FR6852539971 SMET 525 289 971 00034 4/5",AH
"MENTIONS FINALES Les informations recueillies font l'objet de traitements informatiques pour le ministère chargé de l'énergie, sous la responsabilité de la Direction générale de l'énergie et du climat, destinés au contrôle des demandes de certificats d' économies d' énergie (CEE) et à évaluer le dispositif des CEE. Dans ce cadre, vous êtes susceptible d' être contacté, à l'initiative du ministère chargé de l'énergie, pour l'évaluation ou la réalisation d'un contrôle sur place de la bonne réalisation de l'opération. En signant le présent document, vous reconnaissez votre consentement au traitement de vos données. Conformément à la loi no 78-17 du 6 janvier 1978 modifiée relative à l'informatique, aux fichiers et aux libertés, vous bénéficiez d'un droit d'accès et de rectification aux informations qui vous concernent. Vous pouvez également, pour des motifs légitimes, vous opposer aux traitements des données vous concernant. Pour exercer ces droits ou pour toute question sur le traitement de vos données dans ce dispositif, vous pouvez contacter le responsable de traitement de ces données à l'adresse suivante : Direction générale de l'énergie et du climat, Ministère de la transition écologique et solidaire, 92055 La Défense Cedex ou par courriel : cee@developpement-durable.gouv.fr ou le délégué à la protection des données à l'adresse suivante : dpd.daj.sg@developpement-durable.gouv.fr. "" Si vous estimez, après avoir contacté le responsable de traitement ou le délégué indiqué ci-dessus, que vos droits ne sont pas respectés, vous avez également la possibilité d' adresser une réclamation relative aux traitements mis en œuvre à la Commission nationale de l'informatique et des libertés. Les informations recueillies font l'objet d'un traitement informatique destiné à éviter les doubles-comptes de certificats d'économies d'énergie. Le destinataire des données est : TotalEnergies Electricité et Gaz France dont le siège est situé au 2 bis rue Louis Armand, 75015 PARIS. N° de téléphone : 09.70.80.69.69 (prix d'un appel local). La société TotalEnergies Electricité et Gaz France tient à rappeler son engagement à respecter scrupuleusement la confiance que vous lui accordez et à appliquer strictement les obligations de la loi 78-17 du 6 janvier 1978 modifiée dite "" informatique et libertés "" et de ses décrets d'application. Nous nous engageons à respecter les dispositions de cette loi et notamment celles concernant les informations personnelles que vous pourriez être amenés à nous communiquer dans le cadre de votre utilisation du site http://www. totalenergies.com Vertigo est mandataire dans le cadre des Certificats d' Economies d' 'Energie de TotalEnergies Etectricité et Gaz France. La collecte et le traitement des données ont pour finalité le dépôt d' un dossier donnant droit à une contribution financière CEE pour laquelle le client a fait une demande. Nous conservons vos données 9 ans selon la réglementation en vigueur et pouvons communiquer ces données à TotalEnergies Electricité et Gaz France et à 'Autorité Administrative compétente (DGEC) à des fins de contrôle de la conformité des opérations réalisées. Conformément à la Loi "" Informatique et Libertés "" n°78-17 du 06 janvier 1978 modifiée et RGPD, vous disposez de droits que vous pouvez faire valoir auprès du délégué à la protection des données (DPO) dpo@vertigo.energy. De plus, il est rappelé aux signataires de la présente attestation sur l'honneur que toute fausse déclaration expose notamment aux sanctions prévues au code pénal (article 441-7) : "" Est puni d' un an d' emprisonnement et de 15 000 euros d' amende le fait : 1° D établir une attestation ou un certificat faisant état de faits matériellement inexacts ; 2° De falsifier une attestation ou un certificat originairement sincère ; 3° De faire usage d'une attestation ou d'un certificat inexact ou falsifié. "" 5/5",AH
"CERTIFICATS D'ECONOMIES D'ENERGIE ATTESTATION SUR L'HONNEUR Document à compléter de façon lisible et de préférence en majuscules. Les champs précèdés d'un astérisque (*) sont obligatoires. TOTALENERGIES ELECTRICITE ET GAZ FRANCE SIREN 442395448 Vous rencontrez un problème, vous avez une question ? Vous pouvez nous contacter au N° tél : 09 87 98 64 20 E-mail : cee.reclamation@,mail.totalenergies.fr A/ BAR-TH-164 (v.A.36.2) : Rénovation thermique globale d'une maison individuelle existante *Date d' lengagement de l'opération (ex date d'acceptation du devis) : 09/08/2021 Date de preuve de réalisation de l'opération (ex date de la facture) : 28/08/2021 Référence de la facture : 2021-0039 * Pour les personnes morales : nom du site des travaux ou nom de la copropriété : * Adresse des travaux : LA BAREITERIE Complément d'adresse : PARCELLE CADASTRALE: *Code postal 45130 *Ville : HUISSEAUX SUR MAUVES *Maison individuelle existant depuis plus de 2 ans à la date d'engagement de l'opération : OUI NON *Surface habitable de la maison rénovée Shab (m²) : 329 Caractéristiques du bâtiment données par 'étude énergétique : *Consommation conventionnelle en énergie primaire avant les travaux de rénovation : Cep initial (kWh/m².an) : 738.1 *Consommation conventionnelle en énergie primaire après les travaux de rénovation : Cep projet (kWh/m².an) : 143,95 *Consommation conventionnelle en énergie finale avant les travaux de rénovation : Cef initial (kWh/m².an) : 7.12.5 *Consommation conventionnelle en énergie finale après les travaux de rénovation : Cef projet (kWh/m².an) : 55,8 * Gain énergétique du projet par rapport à la consommation conventionnelle en énergie primaire avant travaux : 80,5% NB : les consommations conventionnelles (en kWh/m².an) du bâtiment s' entendent sans déduction de la production d' électricité (autoconsommée ou exportée) et prennent en compte les usages pour le chauffage, le refroidissement et la production d' eau chaude sanitaire. Les émissions de gaz à effet de serre après rénovation, exprimées en kgeqCO2/m².an, sont inférieures ou égales à la valeur initiale de ces émissions avant travaux : x OUI NON NB Les données utilisées pour les hypothèses de calcul du contenu carbone sont celles de la Base CarboneR de l' 'ADEME hébergée à l'adresse suivante : www.bilans-ges-ademe.fr. Coordonnées de l'entreprise ayant effectué l' étude énergétique de l'opération au regard des exigences de la fiche standardisée : *Raison sociale : KYNAN TRAVAUX ET INGENIERIE *Numéro SIREN : 822203873 *Date de l'étude énergétique : 05/08/2021 *Référence de l'étude énergétique : TH-164 5213 Logiciel de calcul utilisé pour réaliser l'étude énergétique : * Nom du logiciel et de son éditeur BAO.-.EVOLUTION.P.ROMODUI * Date et n° de version : 02/06/2021. N°. 2,046 NB : La liste des logiciels réputés satisfaire aux exigences de la présente fiche est rendue publique sur le site Internet du ministère chargé de l'énergie, à l'adresse suivante : https://www.ecologie.gouv.fr/questions-reponses-sur-dispositif-cee. NB : Cette opération l'est pas cumulable avec d' autres opérations pouvant donner lieu à la délivrance de certificats d'économies d'énergie pour des travaux concernant le chauffage, la production d' 'eau chaude sanitaire, la ventilation, l'isolation de l'enveloppe de la maison ou les systèmes d' automatisation et de contrôle du bâtiment, 1/6",AH
"Qualification ou certification du (ou des) professionnel(s) En cas d'intervention de plusieurs professionnels, il convient de dupliquer pour chaque professionnel les informations du cartouche suivant en précisant le domaine des travaux qu'il a effectué : Identification du professionnel ayant réalisé les travaux : *Nom du représentant BENALI *Prénom NASSIM *Raison sociale : RSE ENERGIE *N° de SIRET : 52528997100034 *Domaine des travaux réalisés : BAR-EN-101 - Mise en place d' une isolation thermique en combles perdus *Référence de la qualification ou certification E-E176254 *Date 10/12/2022 Identification du professionnel ayant réalisé les travaux : *Nom du représentant BENALI *Prénom NASSIM *Raison sociale : RSE ENERGIE *N° de SIRET : 52528997100034 *Domaine des travaux réalisés : BAR-EN-101 - Mise en place d'une isolation thermique en Rampant *Référence de la qualification ou certification : E-E176254 *Date 10/12/2022 Identification du professionnel ayant réalisé les travaux : *Nom du représentant BENALI *Prénom NASSIM *Raison sociale : RSE ENERGIE *N° de SIRET : 52528997100034 *Domaine des travaux réalisés : BAR-TH-104 - BAR-TH-104 Pompe à chaleur de type air/eau ou eau/eau *Référence de la qualification ou certification : QPAC/63711 *Date 01/04/2022 Identification du professionnel ayant réalisé les travaux : *Nom du représentant : BENALI *Prénom NASSIM *Raison sociale RSE ENERGIE *N° de SIRET 52528997100034 *Domaine des travaux réalisés : BAR-TH-129 - BAR-TH-129 Pompe à chaleur de type air/air *Référence de la qualification ou certification QPAC/63711 *Date 01/04/2022 Identification du professionnel ayant réalisé les travaux : *Nom du représentant : TRENDEL *Prénom ERIC *Raison sociale : BIO SERVICES *N° de SIRET : 82111919500013 *Domaine des travaux réalisés : BAR-TH-112 - Installation d'un appareil indépendant de chauffage au bois *Référence de la qualification ou certification : QB/53445 *Date 16/09/2021 Pour les opérations engagées jusqu'au 31 décembre 2020, la qualification ou certifications de l'entreprise est mentionnée dans le cas où cette dernière a réalisé des travaux entrant dans les domaines définis au I de l'article 46 AX de l'annexe III du code général des impôts. Pour les opérations engagées à compter du 1er janvier 2021, la qualification ou certification de l'entreprise est mentionnées dans le cas où cette dernière a réalisé des travaux relevant de l'une au moins des catégories de travaux mentionnées au 1° à 17° du I de l'article 1er du décret n° °2014 - 812 du 16 juillet 2014 pris pour l'application du second alinéa du 2 de l'article 200 quater du code général des impôts et du dernier alinéa du 2 du I de l'article 244 quater U du code général des impôts et des textes pris pour son application. 2/6",AH
"B/ Bénéficiaire de l'opération d'économies d'énergie *Nom du signataire : TROUART Prénom du signataire : CLEMENT *Pour les bénéficiaires personnes morales, préciser : *Raison sociale du bénéficiaire : *Numéro SIREN du bénéficiaire : A défaut : le bénéficiaire atteste sur l'honneur qu'il est dépourvu de numéro SIREN en cochant cette case : (mentionner la raison sociale et le numéro SIREN du syndic dans le cas des copropriétés). *Fonction du signataire : PROPRIÉTAIRE *Adresse : LA BARETTERIE Compléments d'adresse : *Code postal 45130 *Ville : HUISSEAUX SUR MAUVES Pays : FRANCE Pour une opération engagée jusqu'au 31 mars 2021, indiquer les coordonnées suivantes : Téléphone : Mobile Courriel : Pour une opération engagée à compter du 1er avril 2021, indiquer les coordonnées suivantes : *Téléphone : :06-88-49-72-43 (indiquer un numéro de téléphone fixe ou de téléphone portable) *Courriel : CLEMENT.TROUART@ICLOUD.COM (indiquer : "" néant "" si le bénéficiaire ne dispose pas d'une adresse de courriel) *Cocher l'une des deux cases suivantes : à l'issue des opérations d' économies d'énergie : Je suis : le seul propriétaire (final) ou le locataire des équipements installés ; ou le syndic de la copropriété ou prend place l'opération d'économies d' énergie ; ou l'occupant du logement où prend place l'opération d' économies d' énergic et je finance cette opération ; ou la personne recevant le service acheté ; Je suis le maître d'ouvrage, l'un des propriétaires des équipements installés, ou l'affectataire (au titre du transfert de compétence entre collectivités territoriales) des biens sur lesquels ont lieu l'opération. Le bénéficiaire ne peut prétendre qu'une seule fois à une contribution versée dans le cadre du dispositif des certificats d'économies d'énergie. En tant que bénéficiaire de l'opération d'économies d' énergie, j'atteste sur l'honneur : - que TotalEnergies Electricité et Gaz France m apporté une contribution individualisée (action personnalisée de sensibilisation ou d'accompagnement, aide financière ou équivalent). Cette contribution m'a incité à réaliser cette opération d'économies d' énergie; - que je fournirai exclusivement à TotalEnergies Electricité et Gaz France l'ensemble des documents permettant de valoriser cette opération au titre du dispositif des certificats d' économies d'énergie, notamment la facture (ou à défaut une autre preuve de la réalisation effective de l'opération); - que je ne signerai pas, pour cette opération, l'attestation sur l'honneur semblable avec une autre personne morale ; - l'exactitude des informations que j'ai communiquées ci-dessus sur les caractéristiques de mon bien (type de bâtiment, surfaces, énergie de chauffage, etc.) et que la ou les opérations d' économies d' énergie décrites ci-dessus ont été intégralement réalisées. Je suis informé que je suis susceptible d' être contacté par les services du ministère chargé de l'énergie (ou tout organisme désigné par le ministère chargé de l'énergie) dans le cadre d' un contrôle concernant la nature de l' 'opération et la réalisation effective de celle-ci; que les économies d' énergie réalisées par cette opération ne viennent pas réduire les émissions de gaz à effet de serre d' une installation classée visée à l'article L. 229-5 du code de l'environnement dont je suis l' exploitant ; qui 'aucune aide à l'investissement de l'Agence de l'environnement et de la maîtrise de l'énergie (ADEME) n'a été reçue ou ne sera sollicitée pour cette opération ou qu 'une aide à l'investissement de l'ADEME a été reçue ou sollicitée et que le calcul et la décision d'attribution de cette aide prennent en compte la délivrance de certificats d'économies d' énergie. Fait à HUISSEAUX SUR MAUVES *Le 28.08.2021 *Signature du bénéficiaire Pour les personnes morales, son cachet et la signature du représentant C.TROUARY 3/6",AH
"C/ Professionnel ayant mis en œuvre l'opération d'économies d'énergie ou assuré sa maîtrise d'oeuvre *Nom du signataire : BENALI Prénom du signataire : NASSIM *Fonction du signataire : GÉRANT *Raison sociale : RSE ENERGIE Numéro SIRET : 52528997100034 * Adresse 4 ALLEE DES GARAYS Code postal 91120 Ville : PALAISEAU Pour une opération engagée jusqu'au 31 mars 2021, indiquer les coordonnées suivantes : Téléphone : Mobile : Courriel : Pour une opération engagée à compter du 1er avril 2021, indiquer les coordonnées suivantes : *Téléphone : 01-70-27-61-77 (indiquer un numéro de téléphone fixe ou de téléphone portable) *Courriel : R.CHEBLI@RSE-ENERGIE.COM (indiquer : "" néant "" si le bénéficiaire ne dispose pas d' une adresse de courriel) *En tant que représentant de l'entreprise : ayant mis en œuvre ; ou ayant assuré la maîtrise di 'œuvre de l'opération d' économies d' énergie, j' 'atteste sur l'honneur : que je fournirai exclusivement à TotalEnergies Electricité et Gaz France l'ensemble des documents permettant de valoriser cette opération au titre du dispositif des certificats d' économies d' énergie, notamment la facture (ou à défaut une autre preuve de la réalisation effective de l'opération) ; que je ne signerai pas, pour cette opération, d' attestation sur l'honneur semblable avec une autre personne morale ; l'exactitude des informations que j'ai communiquées ci-dessus sur les caractéristiques techniques relatives à l'opération d' 'économies d'énergie et, le cas échéant, sur les qualifications professionnelles requises pour mettre en œuvre cette opération ; que la ou les opérations d' économies d' l'énergie décrites ci-dessus ont été intégralement réalisées et que j'ai respecté les conditions de leur réalisation, conformément à ou aux fiches d' 'opération standardisées d' 'économies d' 'énergie concernées. Je suis informé que je suis susceptible d' êêtre contacté par les services du ministère chargé de l'énergie (ou tout organisme désigné par le ministère chargé de l'énergie) dans le cadre d' 'un contrôle concernant la nature de l'opération et la réalisation effective de celle-ci. Fait à PALAISEAU *Le 28/08/2021 *Cachet et signature du professionnel RSE ENERGIE SARL AY CANTAL DE 00.000,00 € 4 Allée des Bargys 91 28(Falaiseau R.C.S. x SIRET 25 289 971 00034 4/6",AH
"R1/ Revenus du ménage bénéficiaire de l'opération (*) Nom du signataire : TROUART Prénom du signataire : CLEMENT (*) Adresse : LABARETTERIE Complément d' adresse : (*) Code postal : 45130 (*) Ville : HUISSEAUX SUR MAUVES Pays FRANCE Pour une opération engagée jusqu'au 31 mars 2021, indiquer les coordonnées suivantes : Téléphone : Mobile Courriel : Pour une opération engagée à compter du 1er avril 2021, indiquer les coordonnées suivantes : *Téléphone : 06-88-49-72-43 (indiquer un numéro de téléphone fixe ou de téléphone portable) *Courriel : CI EEMENT.TROUART@ICLOUD.COM (indiquer : "" néant "" si le bénéficiaire ne dispose pas d' une adresse de courriel) Cocher l'une des deux cases suivantes : en tant que bénéficiaire de l'opération d' économies d' énergie, j'atteste que : Les revenus de mon ménage sont inférieurs aux plafonds du tableau B et supérieurs aux plafonds du tableau A ci-dessous, et mon ménage comporte : Nombre de personnes : Si mon ménage comporte plusieurs foyers fiscaux et que les pièces justificatives des revenus sont les avis d' l'imposition : (*) Nombre de foyers fiscaux : (*) Nom (s) et prénom (s) du/des premier (s) déclarant (s) des autres foyers fiscaux : Les revenus de mon ménage sont inférieurs aux plafonds du tableau A ci-dessous, et mon ménage comporte : Nombre personnes : 1 Si mon ménage comporte plusieurs foyers fiscaux et que les pièces justificatives des revenus sont les avis d' imposition : (*) Nombre de foyers fiscaux : (*) Nom (s) et prénom (s) du/des premier (s) déclarant (s) des autres foyers fiscaux : Tableau A Nombre de personnes composant le ménage Plafonds de revenus du ménage en Île-de- Plafonds de revenus du ménage pour les France (€) autres régions (€) 1 20 593 14 879 2 30 225 21 760 3 36 297 26 170 4 42381 30 572 5 48 488 34 993 Par personne supplémentaire + 096 + 412 Tableau B Nombre de personnes composant le ménage Plafonds de revenus du ménage en Île-de- Plafonds de revenus du ménage pour les autres France (€) régions (€) 1 25 068 19 074 2 36 792 27 896 3 44 188 33 547 4 51 597 39 192 5 59 026 44 860 Par personne supplémentaire + 7 422 +5 651 Fait à HUISSEAUX SUR MAUVES (*) Le 28/08/2021 (*) Signature du bénéficiaire CETROARE 5/6",AH
