text,num_pages,category
"RGE KYNAN OPOiBi Bureau D'Etudes Technique & Ingénierie Fluides et Thermique PRIMES CERTIFICATS D'ECONOMIES D'ENERGIES (CEE) BAR TH 164 Rénovation globale d'une maison individuelle : Prime Certificat d' économie d'Energie octroyée par les pollueurs tels que TOTAL Direct Energie ou ENI GAZ ou BUTAGAZ. Aides ACTION LOGEMENT, MA PRIME RENOV' de L'ANAH: prime pour la rénovation énergétique Aides RÉGIONALES : Octroyées par les régions pour des travaux de rénovation énergétique des logements existants. Liste des documents demandés par l'assistant à maîtrise d'ouvrage au maître de l'ouvrage: Avis d' imposition, Taxe foncière, Pièce d'identité du demandeur, Bulletin de salaire du demandeur, Livret de famille, Facture énergétique (EDF ou GAZ ou Fioul), Plan de la maison ou autres documents techniques. Article 2 - OBLIGATIONS DES PARTIES 2.1- L'assistant à maîtrise d' ouvrage s' oblige : À disposer d'une expérience professionnelle reconnue dans le domaine de l'assistance à maîtrise d' ouvrage pour la rénovation globale des maisons individuelles chez les particuliers À réaliser les missions - À veiller aux intérêts du maître d'ouvrage - À présenter au client une entreprise qualifiée RGE pour la réalisation de ses travaux. 2.2- Le maître d'ouvrage, s' oblige : A mettre à la disposition de l'Assistant à maîtrise d' ouvrage, tous documents et informations nécessaires au projet. Article 3 - DUREE ET RESILIATION DU CONTRAT 3.1 Durée et fin du contrat Le contrat prend effet à la date de sa signature, pour prendre fin à la fin de la réalisation des travaux. 3.2 - Résiliation du contrat par le maître d'ouvrage Le contrat peut être résilié de plein droit par le maître d' ouvrage par le biais du formulaire de rétractation se trouvant en dernière page du présent contrat. Article 4 - REMUNERATION L'assistant à maîtrise l'ouvrage, percevra une rémunération par MA PRIME RENOV ou par le délégataire CEE ou par l'entreprise RGE réalisant les travaux. En aucun cas, le maitre d' ouvrage ne devra verser de rémunération à l'assistant à maitrise d'ouvrage sauf pour des prestations supplémentaires sur demande du client qui feront l'objet d'un devis. Article 5 - CONFIDENTIALITE Les parties s'engagent à considérer comme strictement confidentielles toutes les informations, de quelque nature que ce soit et sur quelque support quece soit, transmises par l'une des parties à l'autre, à l'occasion de l'exécution du contrat. Toutefois, dans le cadre d' une demande de subvention, le maître d'ouvrage autorise expressément l'assistant à maîtrise d' ouvrage à transmettre aux organismes de subventions tous documents nécessaires à l'octroi de l'aide. Article 6 - ASSURANCES L'assistant à maîtrise d'ouvrage est assuré en responsabilité civile exploitation et en responsabilité civile décennale auprès de QBE numéro de police 031 0003355 Article 7 - TRAITEMENT DES DONNEES PERSONNELLES Conformément au règlement européen n° 2016/679/UE du 27 avril 2016, le maître d'ouvrage bénéficie d'un droit d' accès, un droit de limitation, d'un droit de rectification, d' un droit d'opposition, d'un droit à l'effacement, un droit à la portabilité aux informations le concernant, qu'il peut exercer en s' adressant par courrier à destination du siège social de l'assistant à maitrise d'ouvrage (raison sociale) KYNAN INGENIERIE dont l'adresse est 62 Bis Avenue Henri Ginoux, 92120 MONTROUGE. L'assistant à maîtrise d'ouvrage peut être contacté par mail à l'adresse suivante : contact@kynan-ingenierie.fr ou par courrier postal. Dans tous les cas, la demande doit être accompagnée d'une pièce d'identité et d' un justificatif de domicile. OFFRE AMO Bureau d' Études & d' Ingénierie Thermique, Sarl au capital de 10000 € Inscrit au RCS de PARIS Siret : 82220387300044 . APE 7112 B siège au 62 Bis Av Henri Ginoux 92120 MONTROUGE contact@kynan-ingenierie.fr",6,amo
"RGE KYNAN OPOiBi Bureau d'études Technique & Ingénierie Fluides et Thermique L'INGÉNIERIE \QUALIFIÉE Efficacité énergétique Synthése d'audit Énergétique d' une Maison Individuelle Certificat de Qualification RGE ETUDE OPQIBI KYNAN INGENIERIE : 21 08 4429 Propriétaire : PICARD Laura Adresse : 21 Rue de Chevry, 45700 Saint-Maurice-sur-Fessard E-mail : lau.laura@live.fr Tél : 07-82-80-72-28 Date de visite : 04/08/2021 Modification : - Version : 1.0 Technique : VIVIEN MOUNTOU BAO EVOLUTION SED P Le logiciel utilisé pour le calcul des déperditions "" BAO Version 2.0.46 "" de PERRENOUD , l' étude est réalisé selon la méthodologique 16247 1.2012 et 16247-2.2014 1 Bureau d' Études & d' Ingénierie Thermique, Sarl au capital de 10000 € Inscrit au RCS de PARIS Siret : 82220387300044 - APE 7112 B siège au 62 Bis Av Henri Ginoux 92120 MONTROUGE ontact@kynan-ingenierie.fr PICARD Laura N° DE DOSSIER : TH-164 4807",57,synthese_audit
"BUREAU D'ETUDE KYNAN INGENIERIE 62 Bis Avenue Henri Ginoux 92120 MONTROUGE Tel : 01 72 69 01 88 K KYNAN I NGENERIE Email : contact@kynan-ingenierie.fr AUDIT ÉNERGÉTIQUE Olivier COQUILLARD N° DE DOSSIER : TH-164 04361 Objet du présent document d'audit Audit énergétique a été établie à la demande du bénéficiaire, afin de l'accompagner dans son projet de rénovation énergétique globale.. RGE OPOiBi BAO L'INGÉNIERIE QUALIFIÉE EVOLUTION SED Efficacité énergétique ENR P a OMODUL 0 Bureau d' Études & d' Ingénierie Thermique, Sarl au capital de 10000 € Inscrit au RCS de PARIS Siret : 82220387300044 - APE 7112 B siège au 62 Bis Av Henri Ginoux 92120 MONTROUGE ontact@kynan-ingenierie.fr Olivier COQUILLARD N° DE DOSSIER : TH-164 04361",190,audit
"B/ Bénéficiaire de l'opération d' 'économies d'énergie *Nom du signataire : DENIS Prénom du signataire : JEAN PAUL *Pour les bénéficiaires personnes morales, préciser : *Raison sociale du bénéficiaire : *Numéro SIREN du bénéficiaire : A défaut le bénéficiaire atteste sur l'honneur qu' 'il est dépourvu de numéro SIREN en cochant cette case : (mentionner la raison sociale et le numéro SIREN du syndic dans le cas des copropriétés). *Fonction du signataire : PROPRIÉTAIRE Adresse : 5B RUE DES ANGLAIS Compléments d' adresse : *Code postal : 60330 *Ville : SILLY LE LONG Pays : FRANCE Pour une opération engagée jusqu'au 31 mars 2021, indiquer les coordonnées suivantes : Téléphone : Mobile : Courriel : Pour une opération engagée à compter du 1er avril 2021, indiquer les coordonnées suivantes : *Tétéphone : 06-87-89-64-23 (indiquer un numéro de téléphone fixe ou de téléphone portable) *Courriel : JP2NID@GMAIL.COM (indiquer : "" néant "" si le bénéficiaire ne dispose pas d' une adresse de courriel) *Cocher l'une des deux cases suivantes à l'issue des opérations d' 'économies d' énergie : Je suis le seul propriétaire (final) ou le locataire des équipements installés ; ou le syndic de la copropriété ou prend place l'opération d' économies d' énergie ; ou l'occupant du logement où prend place l'opération d' économies d' énergie et je finance cette opération ; ou la personne recevant le service acheté; Je suis le maître d' l'ouvrage, l'un des propriétaires des équipements installés, ou l'affectataire (au titre du transfert de compétence entre collectivités territoriales) des biens sur lesquels ont lieu l'opération. Le bénéficiaire ne peut prétendre qu'une seule fois à une contribution versée dans le cadre du dispositif des certificats d'économies d'énergie. En tant que bénéficiaire de l'opération d'économies d' énergie, j'atteste sur l'honneur : que TotalEnergies Electricité et Gaz France m a apporté une contribution individualisée (action personnalisée de sensibilisation ou d' accompagnement, aide financière ou équivalent). Cette contribution m'a incité à réaliser cette opération d' 'économies d' énergie ; - que je fournirai exclusivement à TotalEnergies Electricité et Gaz France l'ensemble des documents permettant de valoriser cette opération au titre du dispositif des certificats d' économies d' énergie, notamment la facture (ou à défaut une autre preuve de la réalisation effective de l'opération) ; - que je ne signerai pas, pour cette opération, d' attestation sur l'honneur semblable avec une autre personne morale ; l'exactitude des informations que j'ai communiquées ci-dessus sur les caractéristiques de mon bien (type de bâtiment, surfaces, énergie de chauffage, etc.) et que la ou les opérations d' économies d' énergie décrites ci-dessus ont été intégralement réalisées. Je suis informé que je suis susceptible d' être contacté par les services du ministère chargé de l'énergie (ou tout organisme désigné par le ministère chargé de l'énergie) dans le cadre d'un contrôle concernant la nature de l'opération et la réalisation effective de celle-ci que les économies d' énergie réalisées par cette opération ne viennent pas réduire les émissions de gaz à effet de serre d' une installation classée visée à l'article L. 229-5 du code de l'environnement dont je suis l'exploitant ; - qu'aucune aide à l'investissement de l'Agence de l'environnement et de la maîtrise de l'énergie (ADEME) n'a été reçue ou ne sera sollicitée pour cette opération ou qu'une aide à l'investissement de l'ADEME a été reçue ou sollicitée et que le calcul et la décision d'attribution de cette aide prennent en compte la délivrance de certificats d' économics d' énergie. Fait à SILLY.J LE LONG *Le 30/08/2021 *Signature du bénéficiaire Pour les personnes morales, son cachet et la signature du représentant CS 3/5",5,AH
"Bureau D'Etudes Technique & Ingénierie Fluides et Thermique OPOiBi INGÉNIERS Je soussigné : Mme MEKNACI Nora reconnaît avoir été informé de cette proposition d' assistance à la maîtrise d' ouvrage avant la signature de mon devis et vous informe de ma décision : D'accepter cette proposition Signature : De refuser cette proposition Article 8 - LOI APPLICABLE Le présent contrat est régi par les lois et règlements de la République Française. Fait, en deux exemplaires originaux, Le : 06/08/2021 A: MONTROUGE Veuillez signer ce contrat précédé de la mention "" lu et approuvé "" dans la case ci-dessous : L'Assistant à maîtrise d'ouvrage : KYNAN INGENIERIE Le maître d' ouvrage (le client) : KYNAN 62 bis 92 1720 4 fenue Henri INGUX RCS Nariterre B 822 203 873 Bureau d' Études & d' Ingénierie Thermique, Sarl au capital de 10000 € Inscrit au RCS de PARIS Siret : 82220387300044 . APE 7112 B siège au 62 Bis Av Henri Ginoux 92120 MONTROUGE contact@kynan-Ingenierie. fr",6,amo
"RGE K KYNAN OPOiBi Bureau d'études Technique & Ingénierie Fluides et Thermique L'INGÉNIERIE \QUALIFIÉE Efficacité énergétique ENR SOMMAIRE 1. CARACTRESTIQUES PRINCIPALES : 2 1.1 LOCALISATION : 2 2. OBJET DU PRESENT AUDIT : 3 2.1 INTRODUCTION : 3 2.2 SCÉNARIOS DE RÉFÉRENCE : 3 2.3 ATTENTES ÉMISES PAR LE DEMANDEUR ET INFORMATIONS PRÉALABLES A L'AUDIT 3 2.4 RECUEIL DES DONNÉES PRÉALABLES 4 2.5 CARACTÉRISTIQUES ARCHITECTURALES 4 2.6 ANALYSE DES FACTURES DE CONSOMMATION D'ÉNERGIE 5 2.7 DESCRIPTION DES INVESTIGATIONS SUR SITE 5 2.8 PATHOLOGIES OBSERVÉES 5 2.9 DIFFICULTÉS RENCONTRÉES : 6 2.10 LA RÉGLEMENTATION THERMIQUE / LES LABELS : 6 3. LES AMELIORATIONS 7 3.1 DESCRIPTION DES TRAVAUX PAR POSTE 7 3.2 DESCRIPTIF ET SYNTHÈSE DES SCÉNARIOS D'AMÉLIORATION : 8 3.3 VUE ECONOMIQUE 9 3.4 VUE ENERGETIQUE ET ENVIRONNEMENTALE (3 USAGES) : 9 3.5 CALCUL DES DEPERDITIONS 9 3.6 CONFORT THERMIQUE (TIC) 9 3.7 DETAILS DES CONSOMATION : 10 3.8 MÉTHODE DE CALCUL DU TAUX D'ENR & R : 13 4. CONSEILS ECONOMES EN ENERGIE 14 5. AIDES MOBILISABLES 22 6. GLOSSAIRE : 23 7. ANNEXE : DETAILS DES SCENARIOS 25 1 Bureau d' Études & d' Ingénierie Thermique, Sarl au capital de 10000 € Inscrit au RCS de PARIS Siret : 82220387300044 - APE 7112 B siège au 62 Bis Av Henri Ginoux 92120 MONTROUGE ontact@kynan-ingenierie.fr TROUART CLEMENT N° DE DOSSIER : TH-164 5213",60,synthese_audit
"RGE KKYNAN Bureau D'Etudes Technique & Ingénierie Fluides et Thermique OPOiBi La société KYNAN INGENIERIE propose ses services en tant qu'assistant à maitrise d'ouvrage pour la réalisation du projet de rénovation globale de votre logement. Dans ce cadre, KYNAN INGENIERIE assurera le suivi des travaux jusqu'à leur réception. En 5' appuyant sur l'audit énergétique n° TH164 04810 réalisé le 05/08/2021, vous trouverez ci-après nos propositions de choix techniques, de professionnels RGE, ainsi qu'un plan de financement détaillé intégrant les aides auxquelles vous pouvez prétendre, associé à un calendrier de paiement. Scénario 1 - Éligible au Coup De Pouce Rénovation Globale Travaux 1 préconisés : Installation d' une pompe à chaleur Air/eau de marque : DAIKIN model Altherma 3HHT (COP 4.54) Nous vous conseillons l'installateur : RSE ENERGIE / PPAC/63711 Travaux 2 préconisés : installation d' un poele à bois de marque INVICTA, puissance 7kw Nous vous conseillons l'installateur : BIO SERVICES / QB/53445 Travaux 3 préconisés : Installation d' un Ballon thermodynamique de marque : Hitachi model : JZGG30LVEE-MO-X (COP :2.74) Nous vous conseillons l'installateur : RSE ENERGIE/QPAC/63711 Travaux 4 préconisés : Isolation thermique des murs par l'interieurs avec parement de marque ISOVER model : GR032 ayant une résistance thermique de (3,75m2/w) Nous vous conseillons l'installateur :RSE ENERGIE/E-E176254 Travaux 4 préconisés : Isolation thermique des rampants avec parement de marque Knauf model : RT PLUS 032 ayant une résistance thermique de (6,30m2/w) Nous vous conseillons l'installateur : RSE ENERGIE / E-E176254 Travaux 5 préconisés : installation d' une ventilation mécanique contrôlée simple flux hygroréglable Nous vous conseillons l'installateur: H2O EFFICIENCY / E- E164785 Plan de financement 1 Montant de la prime CEE 27 435.92€ Estimation du cout du projet 28 3 046,96€ Reste à charge du bénéficiaire 611.04€ Je soussigné MR DENIS JEAN PAUL reconnait avoir été informé de cette proposition d'assistance à la maîtrise d' ouvrage avant la signature de mon devis et vous informe de ma décision : x D'accepter cette proposition Signature : Say De refuser cette proposition Scénario 2 - Éligible au Coup De Pouce Rénovation Globale Travaux 1 préconisés : Installation d' une chaudière à pellet de marque : OKOFEN model OKOFEN CONDENS Rendement 107,3% Nous vous conseillons l'installateur : MERYSOL N° de RGE E-E188324 Travaux 2 préconisés : Installation d' un Ballon thermodynamique de marque : Hitachi model : JZGG30LVEE-MO-X (COP 3.83 ) Nous vous conseillons l'installateur : MERYSOL N° de RGE : E-E188324 Travaux 3 préconisés : Isolation thermique des rampants avec parement de marque KNAUF model : RT PLUS 032 ayant une résistance thermique de (6,30m2/w) Nous vous conseillons l'installateur : MERYSOL N° de RGE E-E188324 Travaux 4 préconisés : Isolation thermique des murs avec parement de marque ISOVER model : GR032 ayant une résistance thermique de (3,75m2/w) Nous vous conseillons l'installateur : MERYSOL - N° de RGE : E-E188324 Travaux 5 préconisés : Installation d'une isolation thermique du plancher bas de marque : KNAUF modèle XTherm Réno SE 032 ayant une résistance thermique de (3,00m2/w). Nous vous conseillons l'installateur : MERYSOL N° de RGE E188324 Travaux 6 préconisés : Remplacement des menuiseries en PVC et double vitrage. Nous vous conseillons l'installateur : MERYSOL - N° de RGE : E-E188324 Travaux 7 préconisés : Installation d'une VMC simple flux de marque .Nous vous conseillons l'installateur : MERYSOL - N° de RGE : E-E188324 Plan de financement 1 Montant de la prime CEE 27 435.92 € Estimation du cout du projet 97 775.00 € Reste à charge du bénéficiaire 70 339.08 € * Si vous choisissez le Scénario 2 nous pouvons vous accompagner dans l'obtention d' une subvention auprès de MaPrimeRenov' allant jusqu'à 20 000,00 € en moyenne pour votre projet, concernant les 50339.08 €restant à votre charge nous pouvons vous proposer un ECO prêt à taux zéro chez notre partenaire DOMOFINANCE. Je soussigné : MR DENIS JEAN PAUL reconnaît avoir été informé de cette proposition d' assistance à la maîtrise d'ouvrage avant la signature de mon devis et vous informe de ma décision : D'accepter cette proposition Signature : De refuser cette proposition Bureau d' Études & d' Ingénierie Thermique, Sarl au capital de 10000 € Inscrit au RCS de PARIS Siret : 82220387300044 . APE 7112 B siège au 62 Bis Av Henri Ginoux 92120 MONTROUGE contact@kynan-ingeniene.fr",6,amo
"R.2022.07.18.19 OO Page 1/15 RAPPORT EliteInspection D'INSPECTION N° R.2022.07.18.19 FICHE BAR-TH-164 Vérifiez l'authenticité de ce rapport en scannant le QRCode ci-dessus Rénovation thermique globale d'une maison individuelle existante Accréditation COFRAC N°3-1696 Portée disponible sur le site www.cofrac.fr Date de fin de validité de l'accréditation 30/09/2023 SATISFALSANT BOULOGNE-BILLANCOURT, le 18/07/2022 LIEU D'INTERVENTION CLIENT RSE ENERGIE MOISA PETRICA 4 ALLEE DES GARAYS 6 BIS AVENUE DE LA 91120 PALAISEAU LIBERATION 77290 MITRY MORY ELITE QUALITY INSPECTION 31 Av. du Général Leclerc 92100 BOULOGNE -BILLANCOURT SIREN N°851 955 005 - RCS de NANTERRE EQI_9.09.6 Ce rapport ne peut être reproduit que dans son intégralité",15,cofrac
"RGE KYNAN OPOiBi Bureau d'études Technique & Ingénierie Fluides et Thermique L'INGÉNIERIE \QUALIFIÉE Efficacité énergétique ENR Audit Énergétique d'une Maison Individuelle Certificat de Qualification RGE ETUDE OPQIBI KYNAN INGENIERIE : 21 08 4429 Propriétaire : MOHAMMEDI Mohammed Adresse : 24 Rue du Dr Infroy 77290, Mitry-Mory E-mail : MOHAMMEDI.MOHAMMED@GMAIL.COM Tél : 07 68 91 26 52 Date de visite :04/08/2021 Modification : - Version : 1.0 Technique : VIVIEN MOUNTOU BAO EVOLUTION SED PROMODUL Le logiciel utilisé pour le calcul des déperditions "" BAO Version 2.0.46 "" de PERRENOUD , l' étude est réalisé selon la méthodologique 16247 1.2012 et 16247-2.2014 1 Bureau d' Études & d'Ingénierie Thermique, Sarl au capital de 10000 € Inscrit au RCS de PARIS Siret : 82220387300044 - APE 7112 B siège au 62 Bis Av Henri Ginoux 92120 MONTROUGE ontact@kynan-ingenierie.fr MOHAMMEDI MOHAMMED N° DE DOSSIER : TH-164 04438",192,audit
"RGE KYNAN OPOiBi Bureau d'études Technique & Ingénierie Fluides et Thermique L'INGÉNIERIE \QUALIFIÉE Efficacité énergétique ENR Audit Énergétique d'une Maison Individuelle Certificat de Qualification RGE ETUDE OPQIBI KYNAN INGENIERIE : 21 08 4429 Propriétaire : Sarah MEKHELFI Adresse : 26 ter Rue de la Croix Boissée, Itteville, 91760 E-mail : croixboissee@orange.fr Tél : 0671045746 Date de visite : 04/08/2021 Modification : - Version : 1.0 Technique : Vivian Mountou BAO EVOLUTION SED PROMODUL Le logiciel utilisé pour le calcul des déperditions "" BAO Version 2.0.46 "" de PERRENOUD , l' étude est réalisé selon la méthodologique 16247 1.2012 et 16247-2.2014 1 Bureau d' Études & d' Ingénierie Thermique, Sarl au capital de 10000 € Inscrit au RCS de PARIS Siret : 82220387300044 - APE 7112 B siège au 62 Bis Av Henri Ginoux 92120 MONTROUGE ontact@kynan-ingenierie.fr MEKHELFI SARAH N° DE DOSSIER : TH-1643027",174,audit
